NAME;NAME_EN;NAME_RU;ADMIN_LVL;OSM_TYPE;OSM_ID;ADMIN_L1D;ADMIN_L1;ADMIN_L2D;ADMIN_L2;ADMIN_L3D;ADMIN_L3;ADMIN_L4D;ADMIN_L4;ADMIN_L5D;ADMIN_L5;ADMIN_L6D;ADMIN_L6;ADMIN_L7D;ADMIN_L7;ADMIN_L8D;ADMIN_L8;ADMIN_L9D;ADMIN_L9;ADMIN_L10D;ADMIN_L10
сельское поселение Русские Янгуты;;;8;relation;5756862;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;3438290.0;Усть-Ордынский Бурятский округ;1456786;Осинский район;;;;;;;;
сельское поселение Обуса;;;8;relation;5756859;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;3438290.0;Усть-Ордынский Бурятский округ;1456786;Осинский район;;;;;;;;
сельское поселение Майск;;;8;relation;5756857;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;3438290.0;Усть-Ордынский Бурятский округ;1456786;Осинский район;;;;;;;;
сельское поселение Бурят-Янгуты;;;8;relation;5756855;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;3438290.0;Усть-Ордынский Бурятский округ;1456786;Осинский район;;;;;;;;
сельское поселение Бильчир;;;8;relation;5756854;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;3438290.0;Усть-Ордынский Бурятский округ;1456786;Осинский район;;;;;;;;
Улейское сельское поселение;;;8;relation;5756853;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;3438290.0;Усть-Ордынский Бурятский округ;1456786;Осинский район;;;;;;;;
сельское поселение Посёлок Приморский;;;8;relation;5756861;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;3438290.0;Усть-Ордынский Бурятский округ;1456786;Осинский район;;;;;;;;
сельское поселение Ново-Ленино;;;8;relation;5756858;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;3438290.0;Усть-Ордынский Бурятский округ;1456786;Осинский район;;;;;;;;
сельское поселение Ирхидей;;;8;relation;5756856;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;3438290.0;Усть-Ордынский Бурятский округ;1456786;Осинский район;;;;;;;;
Ново-Николаевское сельское поселение;;;8;relation;5756696;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;3438290.0;Усть-Ордынский Бурятский округ;1456788;Эхирит-Булагатский район;;;;;;;;
Каха-Онгойское сельское поселение;;;8;relation;5756852;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;3438290.0;Усть-Ордынский Бурятский округ;1456786;Осинский район;;;;;;;;
