NAME;NAME_EN;NAME_RU;ADMIN_LVL;OSM_TYPE;OSM_ID;ADMIN_L1D;ADMIN_L1;ADMIN_L2D;ADMIN_L2;ADMIN_L3D;ADMIN_L3;ADMIN_L4D;ADMIN_L4;ADMIN_L5D;ADMIN_L5;ADMIN_L6D;ADMIN_L6;ADMIN_L7D;ADMIN_L7;ADMIN_L8D;ADMIN_L8;ADMIN_L9D;ADMIN_L9;ADMIN_L10D;ADMIN_L10
Капсальское сельское поселение;;;8;relation;5756693;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;3438290.0;Усть-Ордынский Бурятский округ;1456788;Эхирит-Булагатский район;;;;;;;;
Усть-Ордынское сельское поселение;;;8;relation;5756699;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;3438290.0;Усть-Ордынский Бурятский округ;1456788;Эхирит-Булагатский район;;;;;;;;
Гаханское сельское поселение;;;8;relation;5756691;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;3438290.0;Усть-Ордынский Бурятский округ;1456788;Эхирит-Булагатский район;;;;;;;;
Шелеховское городское поселение;;;8;relation;5756314;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1459516;Шелеховский район;;;;;;;;
Корсукское сельское поселение;;;8;relation;5756694;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;3438290.0;Усть-Ордынский Бурятский округ;1456788;Эхирит-Булагатский район;;;;;;;;
сельское поселение Оса;;;8;relation;5756860;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;3438290.0;Усть-Ордынский Бурятский округ;1456786;Осинский район;;;;;;;;
Тугутуйское сельское поселение;;;8;relation;5756698;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;3438290.0;Усть-Ордынский Бурятский округ;1456788;Эхирит-Булагатский район;;;;;;;;
Олойское сельское поселение;;;8;relation;5756697;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;3438290.0;Усть-Ордынский Бурятский округ;1456788;Эхирит-Булагатский район;;;;;;;;
Шаманское сельское поселение;;;8;relation;5756313;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1459516;Шелеховский район;;;;;;;;
Подкаменское сельское поселение;;;8;relation;5756312;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1459516;Шелеховский район;;;;;;;;
Харатское сельское поселение;;;8;relation;5756701;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;3438290.0;Усть-Ордынский Бурятский округ;1456788;Эхирит-Булагатский район;;;;;;;;
Мухинское сельское поселение;;;8;relation;5755178;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190097;Чунский район;;;;;;;;
Ахинское сельское поселение;;;8;relation;5756690;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;3438290.0;Усть-Ордынский Бурятский округ;1456788;Эхирит-Булагатский район;;;;;;;;
Бунбуйское сельское поселение;;;8;relation;5755174;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190097;Чунский район;;;;;;;;
Таргизское сельское поселение;;;8;relation;5755181;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190097;Чунский район;;;;;;;;
Новочунское сельское поселение;;;8;relation;5755179;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190097;Чунский район;;;;;;;;
Харазаргайское сельское поселение;;;8;relation;5756700;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;3438290.0;Усть-Ордынский Бурятский округ;1456788;Эхирит-Булагатский район;;;;;;;;
Баклашинское сельское поселение;;;8;relation;5756309;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1459516;Шелеховский район;;;;;;;;
Чунское городское поселение;;;8;relation;5755183;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190097;Чунский район;;;;;;;;
Червянское сельское поселение;;;8;relation;5755182;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190097;Чунский район;;;;;;;;
Кулункунское сельское поселение;;;8;relation;5756695;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;3438290.0;Усть-Ордынский Бурятский округ;1456788;Эхирит-Булагатский район;;;;;;;;
сельское поселение Усть-Алтан;;;8;relation;5756863;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;3438290.0;Усть-Ордынский Бурятский округ;1456786;Осинский район;;;;;;;;
Олхинское сельское поселение;;;8;relation;5756311;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1459516;Шелеховский район;;;;;;;;
Тунгусское сельское поселение;;;8;relation;5753795;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1458139;Черемховский район;;;;;;;;
Каменское сельское поселение;;;8;relation;5755176;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190097;Чунский район;;;;;;;;
Лоховское сельское поселение;;;8;relation;5753786;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1458139;Черемховский район;;;;;;;;
Алужинское сельское поселение;;;8;relation;5756689;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;3438290.0;Усть-Ордынский Бурятский округ;1456788;Эхирит-Булагатский район;;;;;;;;
Октябрьское городское поселение;;;8;relation;5755180;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190097;Чунский район;;;;;;;;
Черемховское сельское поселение;;;8;relation;5753797;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1458139;Черемховский район;;;;;;;;
Узколугское сельское поселение;;;8;relation;5753796;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1458139;Черемховский район;;;;;;;;
Алехинское сельское поселение;;;8;relation;5753780;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1458139;Черемховский район;;;;;;;;
Юголокское сельское поселение;;;8;relation;5752478;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1459563;Усть-Удинский район;;;;;;;;
Чичковское сельское поселение;;;8;relation;5752477;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1459563;Усть-Удинский район;;;;;;;;
Тальниковское сельское поселение;;;8;relation;5753794;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1458139;Черемховский район;;;;;;;;
Среднемуйское сельское поселение;;;8;relation;5752475;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1459563;Усть-Удинский район;;;;;;;;
Светлолобовское сельское поселение;;;8;relation;5752474;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1459563;Усть-Удинский район;;;;;;;;
Голуметское сельское поселение;;;8;relation;5753783;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1458139;Черемховский район;;;;;;;;
Новоудинское сельское поселение;;;8;relation;5752472;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1459563;Усть-Удинский район;;;;;;;;
Нижнеиретское сельское поселение;;;8;relation;5753788;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1458139;Черемховский район;;;;;;;;
Ключинское сельское поселение;;;8;relation;5752469;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1459563;Усть-Удинский район;;;;;;;;
Игжейское сельское поселение;;;8;relation;5752468;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1459563;Усть-Удинский район;;;;;;;;
Весёловское сельское поселение;;;8;relation;5755175;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190097;Чунский район;;;;;;;;
Саянское сельское поселение;;;8;relation;5753793;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1458139;Черемховский район;;;;;;;;
Аносовское сельское поселение;;;8;relation;5752465;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1459563;Усть-Удинский район;;;;;;;;
Балтуринское сельское поселение;;;8;relation;5755173;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190097;Чунский район;;;;;;;;
Новостроевское сельское поселение;;;8;relation;5753790;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1458139;Черемховский район;;;;;;;;
Молькинское сельское поселение;;;8;relation;5752471;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1459563;Усть-Удинский район;;;;;;;;
Захальское сельское поселение;;;8;relation;5756692;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;3438290.0;Усть-Ордынский Бурятский округ;1456788;Эхирит-Булагатский район;;;;;;;;
Нийское сельское поселение;;;8;relation;5752230;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1454692;Усть-Кутский район;;;;;;;;
Звёзднинское городское поселение;;;8;relation;5752229;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1454692;Усть-Кутский район;;;;;;;;
Большелугское сельское поселение;;;8;relation;5756310;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1459516;Шелеховский район;;;;;;;;
Эдучанское сельское поселение;;;8;relation;5749491;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190095;Усть-Илимский район;;;;;;;;
Седановское сельское поселение;;;8;relation;5749489;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190095;Усть-Илимский район;;;;;;;;
Парфеновское сельское поселение;;;8;relation;5753792;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1458139;Черемховский район;;;;;;;;
Ершовское сельское поселение;;;8;relation;5749484;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190095;Усть-Илимский район;;;;;;;;
Усть-Кутское городское поселение;;;8;relation;5752233;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1454692;Усть-Кутский район;;;;;;;;
Ручейское сельское поселение;;;8;relation;5752232;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1454692;Усть-Кутский район;;;;;;;;
Малышевское сельское поселение;;;8;relation;5752470;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1459563;Усть-Удинский район;;;;;;;;
Верхнемарковское сельское поселение;;;8;relation;5752228;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1454692;Усть-Кутский район;;;;;;;;
Балаганкинское сельское поселение;;;8;relation;5752467;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1459563;Усть-Удинский район;;;;;;;;
Подъеланское сельское поселение;;;8;relation;5749488;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190095;Усть-Илимский район;;;;;;;;
Невонское сельское поселение;;;8;relation;5749487;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190095;Усть-Илимский район;;;;;;;;
Янтальское городское поселение;;;8;relation;5752234;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1454692;Усть-Кутский район;;;;;;;;
Бадарминское сельское поселение;;;8;relation;5749483;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190095;Усть-Илимский район;;;;;;;;
Тельминское городское поселение;;;8;relation;5747218;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1463469;Усольский район;;;;;;;;
Тальянское сельское поселение;;;8;relation;5747217;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1463469;Усольский район;;;;;;;;
Белореченское городское поселение;;;8;relation;5747206;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1463469;Усольский район;;;;;;;;
Сосновское сельское поселение;;;8;relation;5747214;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1463469;Усольский район;;;;;;;;
Аталанское сельское поселение;;;8;relation;5752466;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1459563;Усть-Удинский район;;;;;;;;
Новомальтинское сельское поселение;;;8;relation;5747212;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1463469;Усольский район;;;;;;;;
Новожилкинское сельское поселение;;;8;relation;5747211;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1463469;Усольский район;;;;;;;;
Мишелёвское городское поселение;;;8;relation;5747210;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1463469;Усольский район;;;;;;;;
Железнодорожное сельское поселение;;;8;relation;5747208;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1463469;Усольский район;;;;;;;;
Большееланское сельское поселение;;;8;relation;5747207;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1463469;Усольский район;;;;;;;;
Михайловское городское поселение;;;8;relation;5753787;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1458139;Черемховский район;;;;;;;;
Мугунское сельское поселение;;;8;relation;5745073;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190128;Тулунский район;;;;;;;;
Раздольинское сельское поселение;;;8;relation;5747213;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1463469;Усольский район;;;;;;;;
Умыганское сельское поселение;;;8;relation;5745079;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190128;Тулунский район;;;;;;;;
Зерновское сельское поселение;;;8;relation;5753784;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1458139;Черемховский район;;;;;;;;
Подволоченское сельское поселение;;;8;relation;5752473;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1459563;Усть-Удинский район;;;;;;;;
Новогромовское сельское поселение;;;8;relation;5753789;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1458139;Черемховский район;;;;;;;;
Подымахинское сельское поселение;;;8;relation;5752231;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1454692;Усть-Кутский район;;;;;;;;
Нижнебурбукское сельское поселение;;;8;relation;5745074;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190128;Тулунский район;;;;;;;;
Котикское сельское поселение;;;8;relation;5745072;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190128;Тулунский район;;;;;;;;
Железнодорожное городское поселение;;;8;relation;5749485;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190095;Усть-Илимский район;;;;;;;;
Сибирякское сельское поселение;;;8;relation;5745078;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190128;Тулунский район;;;;;;;;
Писаревское сельское поселение;;;8;relation;5745077;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190128;Тулунский район;;;;;;;;
Перфиловское сельское поселение;;;8;relation;5745076;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190128;Тулунский район;;;;;;;;
Октябрьское сельское поселение;;;8;relation;5745075;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190128;Тулунский район;;;;;;;;
Тайтурское городское поселение;;;8;relation;5747216;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1463469;Усольский район;;;;;;;;
Среднинское городское поселение;;;8;relation;5747215;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1463469;Усольский район;;;;;;;;
Гадалейское сельское поселение;;;8;relation;5745065;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190128;Тулунский район;;;;;;;;
Владимирское сельское поселение;;;8;relation;5745064;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190128;Тулунский район;;;;;;;;
Бурхунское сельское поселение;;;8;relation;5745063;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190128;Тулунский район;;;;;;;;
Будаговское сельское поселение;;;8;relation;5745062;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190128;Тулунский район;;;;;;;;
Тимирязевское сельское поселение;;;8;relation;5744643;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190098;Тайшетский район;;;;;;;;
Аршанское сельское поселение;;;8;relation;5745060;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190128;Тулунский район;;;;;;;;
Гуранское сельское поселение;;;8;relation;5745066;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190128;Тулунский район;;;;;;;;
Тубинское сельское поселение;;;8;relation;5749490;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190095;Усть-Илимский район;;;;;;;;
Усть-Удинское сельское поселение;;;8;relation;5752476;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1459563;Усть-Удинский район;;;;;;;;
Рождественское сельское поселение;;;8;relation;5744638;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190098;Тайшетский район;;;;;;;;
Шелеховское сельское поселение;;;8;relation;5744646;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190098;Тайшетский район;;;;;;;;
Шелаевское сельское поселение;;;8;relation;5744645;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190098;Тайшетский район;;;;;;;;
Тайшетское городское поселение;;;8;relation;5742495;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190098;Тайшетский район;;;;;;;;
Едогонское сельское поселение;;;8;relation;5745068;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190128;Тулунский район;;;;;;;;
Евдокимовское сельское поселение;;;8;relation;5745067;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190128;Тулунский район;;;;;;;;
Алгатуйское сельское поселение;;;8;relation;5745059;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190128;Тулунский район;;;;;;;;
Старо-Акульшетское сельское поселение;;;8;relation;5744640;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190098;Тайшетский район;;;;;;;;
Мирнинское сельское поселение;;;8;relation;5742490;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190098;Тайшетский район;;;;;;;;
Каменно-Ангарское сельское поселение;;;8;relation;5753785;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1458139;Черемховский район;;;;;;;;
Ишидейское сельское поселение;;;8;relation;5745070;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190128;Тулунский район;;;;;;;;
Икейское сельское поселение;;;8;relation;5745069;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190128;Тулунский район;;;;;;;;
Полинчетское сельское поселение;;;8;relation;5742494;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190098;Тайшетский район;;;;;;;;
Новобирюсинское городское поселение;;;8;relation;5742493;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190098;Тайшетский район;;;;;;;;
Борисовское сельское поселение;;;8;relation;5742482;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190098;Тайшетский район;;;;;;;;
Нижнезаимское сельское поселение;;;8;relation;5742491;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190098;Тайшетский район;;;;;;;;
Шиткинское городское поселение;;;8;relation;5744647;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190098;Тайшетский район;;;;;;;;
Березовское сельское поселение;;;8;relation;5742479;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190098;Тайшетский район;;;;;;;;
Кирейское сельское поселение;;;8;relation;5745071;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190128;Тулунский район;;;;;;;;
Онотское сельское поселение;;;8;relation;5753791;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1458139;Черемховский район;;;;;;;;
Булайское сельское поселение;;;8;relation;5753782;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1458139;Черемховский район;;;;;;;;
Афанасьевское сельское поселение;;;8;relation;5745061;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190128;Тулунский район;;;;;;;;
Тамтачетское сельское поселение;;;8;relation;5744642;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190098;Тайшетский район;;;;;;;;
Тальское сельское поселение;;;8;relation;5744641;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190098;Тайшетский район;;;;;;;;
Шерагульское сельское поселение;;;8;relation;5745081;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190128;Тулунский район;;;;;;;;
Усть-Кульское сельское поселение;;;8;relation;5745080;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190128;Тулунский район;;;;;;;;
Разгонское сельское поселение;;;8;relation;5744637;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190098;Тайшетский район;;;;;;;;
Слюдянское городское поселение;;;8;relation;5739676;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1104970;Слюдянский район;;;;;;;;
Новоснежнинское сельское поселение;;;8;relation;5739675;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1104970;Слюдянский район;;;;;;;;
Бельское сельское поселение;;;8;relation;5753781;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1458139;Черемховский район;;;;;;;;
Лесогорское городское поселение;;;8;relation;5755177;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190097;Чунский район;;;;;;;;
Байкальское городское поселение;;;8;relation;5739672;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1104970;Слюдянский район;;;;;;;;
сельское поселение Хадахан;;;8;relation;5738581;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;3438290.0;Усть-Ордынский Бурятский округ;1460641;Нукутский район;;;;;;;;
сельское поселение Нукуты;;;8;relation;5738580;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;3438290.0;Усть-Ордынский Бурятский округ;1460641;Нукутский район;;;;;;;;
Шара-Тоготское сельское поселение;;;8;relation;5739160;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1456395;Ольхонский район;;;;;;;;
Зареченское сельское поселение;;;8;relation;5742488;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190098;Тайшетский район;;;;;;;;
сельское поселение Алтарик;;;8;relation;5738577;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;3438290.0;Усть-Ордынский Бурятский округ;1460641;Нукутский район;;;;;;;;
Еланцынское сельское поселение;;;8;relation;5739156;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1456395;Ольхонский район;;;;;;;;
Бугульдейское сельское поселение;;;8;relation;5739155;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1456395;Ольхонский район;;;;;;;;
Новонукутское сельское поселение;;;8;relation;5738574;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;3438290.0;Усть-Ордынский Бурятский округ;1460641;Нукутский район;;;;;;;;
Шумское городское поселение;;;8;relation;5738222;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190110;Нижнеудинский район;;;;;;;;
Широковское сельское поселение;;;8;relation;5738221;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190110;Нижнеудинский район;;;;;;;;
Соляновское сельское поселение;;;8;relation;5744639;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;190098;Тайшетский район;;;;;;;;
сельское поселение Новоленино;;;8;relation;5738579;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;3438290.0;Усть-Ордынский Бурятский округ;1460641;Нукутский район;;;;;;;;
сельское поселение Закулей;;;8;relation;5738578;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;3438290.0;Усть-Ордынский Бурятский округ;1460641;Нукутский район;;;;;;;;
Куретское сельское поселение;;;8;relation;5739157;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1456395;Ольхонский район;;;;;;;;
Шаратское сельское поселение;;;8;relation;5738576;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;3438290.0;Усть-Ордынский Бурятский округ;1460641;Нукутский район;;;;;;;;
Култукское городское поселение;;;8;relation;5739674;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1104970;Слюдянский район;;;;;;;;
Быстринское сельское поселение;;;8;relation;5739673;;;60189;Россия;1221148;Сибирский федеральный округ;145454;Иркутская область;;;1104970;Слюдянский район;;;;;;;;
